[2026-02-05 14:28:43] [DOWODCA] START
[2026-02-05 14:28:43] [OPERATOR] START
[2026-02-05 14:28:44] [DRON 3171692] LOT | bateria=98%
[2026-02-05 14:28:44] [DRON 3171847] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171905] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171709] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171918] LOT | bateria=95%
[2026-02-05 14:28:44] [DRON 3171837] LOT | bateria=98%
[2026-02-05 14:28:44] [DRON 3171853] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171794] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171826] LOT | bateria=98%
[2026-02-05 14:28:44] [DRON 3171719] LOT | bateria=97%
[2026-02-05 14:28:44] [DRON 3171894] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171988] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:44] [DRON 3171722] LOT | bateria=96%
[2026-02-05 14:28:44] [DRON 3171881] LOT | bateria=99%
[2026-02-05 14:28:44] [DRON 3171751] LOT | bateria=96%
[2026-02-05 14:28:44] [DRON 3171961] LOT | bateria=95%
